id,Action,Adventure,Fantasy,Science Fiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TV Movie,Unknown
19995,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206647,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49026,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49529,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38757,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99861,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
209112,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1452,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10764,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57201,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49521,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2454,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24428,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1865,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41154,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122917,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20662,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57158,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2268,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
271110,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44833,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135397,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37724,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68721,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12155,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36668,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62211,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8373,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91314,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68728,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102382,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20526,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49013,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
44912,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10193,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
534,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72190,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
127585,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54138,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81005,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64682,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9543,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68726,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
